DDBJ/ENA/GenBank Accession	Environment
DBPE00000000	Gut
DBOU00000000	Gut
DBLC00000000	Gut
DBKI00000000	Gut
DBKA00000000	Gut
DBJX00000000	Gut
DBJP00000000	Gut
DBJG00000000	Gut
DBGC00000000	Built Environment
DBGA00000000	Built Environment
DBEH00000000	Built Environment
DBCZ00000000	Gut
DBBD00000000	Biofilm
DBBC00000000	Biofilm
DBBB00000000	Biofilm
DCEL00000000	Terrestial
DCDY00000000	Terrestial
DCDU00000000	Terrestial
DCDT00000000	Terrestial
DCDC00000000	Bioreactor
DCCP00000000	Gut
DCCK00000000	Gut
DCBN00000000	Gut
DCBJ00000000	Gut
DBYH00000000	Gut
DBYF00000000	Gut
DBTK00000000	Sediment
DBSN00000000	Bioreactor
DBRT00000000	Bioreactor
DBQR00000000	Bioreactor
DBQN00000000	Bioreactor
DBPK00000000	Bioreactor
DCUB00000000	Bioreactor
DCUA00000000	Bioreactor
DCTY00000000	Bioreactor
DCTM00000000	Bioreactor
DCTI00000000	Bioreactor
DCPV00000000	Built Environment
DCNL00000000	Bioreactor
DCMK00000000	Gut
DCJX00000000	Gut
DCJP00000000	Gut
DCJM00000000	Gut
DCJK00000000	Gut
DCJJ00000000	Gut
DCJF00000000	Gut
DCJD00000000	Gut
DCHZ00000000	Gut
DCHA00000000	Gut
DCGW00000000	Gut
DCGS00000000	Gut
DCGJ00000000	Gut
DCFY00000000	Sediment
DCFU00000000	Sediment
DCFR00000000	Sediment
DCFC00000000	Gut
DCEU00000000	Gut
DDHO00000000	Oil
DDHB00000000	Built Environment
DDCL00000000	Sediment
DDAM00000000	Built Environment
DCZH00000000	Bioreactor
DCYG00000000	Built Environment
DCUX00000000	Bioreactor
DCUR00000000	Bioreactor
DCUO00000000	Bioreactor
DDXL00000000	Bioreactor
DDXD00000000	Bioreactor
DDWI00000000	Biofilm
DDWC00000000	Biofilm
DDNC00000000	Built Environment
DDMB00000000	Bioreactor
DDLY00000000	Bioreactor
DDLB00000000	Built Environment
DDKP00000000	Terrestial
DDKM00000000	Terrestial
DEOE00000000	Built Environment
DENZ00000000	Built Environment
DEKB00000000	Gut
DEDZ00000000	Gut
DEDH00000000	Gut
DFDD00000000	Built Environment
DFAQ00000000	Sediment
DFAP00000000	Sediment
DEWH00000000	Gut
DEWF00000000	Gut
DEVR00000000	Built Environment
DESE00000000	Gut
DEQG00000000	Gut
DFPH00000000	Built Environment
DFOH00000000	Built Environment
DFOA00000000	Built Environment
DFNS00000000	Sediment
DFNM00000000	Sediment
DFNK00000000	Sediment
DFNJ00000000	Sediment
DFNH00000000	Sediment
DFNG00000000	Sediment
DFNE00000000	Sediment
DFND00000000	Sediment
DFMW00000000	Terrestial
DFKT00000000	Gut
DFKC00000000	Gut
DFIW00000000	Gut
DFIJ00000000	Gut
DFHP00000000	Gut
DFHJ00000000	Gut
DFHH00000000	Gut
DFGY00000000	Gut
DFEY00000000	Gut
DFEX00000000	Gut
DFET00000000	Gut
DFES00000000	Gut
DFDZ00000000	Gut
DGIB00000000	Gut
DGHI00000000	Gut
DGHB00000000	Gut
DGGP00000000	Gut
DGGJ00000000	Built Environment
DGFN00000000	Bioreactor
DGFL00000000	Bioreactor
DGFK00000000	Bioreactor
DGFI00000000	Bioreactor
DGFG00000000	Bioreactor
DGFF00000000	Bioreactor
DGFD00000000	Bioreactor
DGFC00000000	Bioreactor
DGEY00000000	Bioreactor
DGEX00000000	Bioreactor
DGEU00000000	Bioreactor
DGET00000000	Bioreactor
DGES00000000	Bioreactor
DGER00000000	Bioreactor
DGEP00000000	Bioreactor
DGEN00000000	Bioreactor
DGEM00000000	Bioreactor
DGEK00000000	Bioreactor
DGEI00000000	Bioreactor
DGEH00000000	Bioreactor
DGEG00000000	Bioreactor
DGEC00000000	Bioreactor
DGEB00000000	Bioreactor
DGDX00000000	Bioreactor
DGDW00000000	Bioreactor
DGDV00000000	Bioreactor
DGDU00000000	Bioreactor
DGDR00000000	Bioreactor
DGDN00000000	Bioreactor
DGDM00000000	Bioreactor
DGDJ00000000	Bioreactor
DGDI00000000	Bioreactor
DFZT00000000	Bioreactor
DFZP00000000	Bioreactor
DFZH00000000	Bioreactor
DFYD00000000	Bioreactor
DFTD00000000	Gut
DGWS00000000	Gut
DGWE00000000	Gut
DGVZ00000000	Gut
DGTG00000000	Gut
DGSQ00000000	Gut
DGSJ00000000	Gut
DGRV00000000	Gut
DGRS00000000	Gut
DGRE00000000	Built Environment
DGKZ00000000	Built Environment
DGJJ00000000	Built Environment
DGIM00000000	Gut
DHNC00000000	Gut
DHMX00000000	Gut
DHLF00000000	Gut
DHKX00000000	Gut
DHKR00000000	Gut
DHHK00000000	Bioreactor
DHGV00000000	Bioreactor
DHGP00000000	Bioreactor
DHGM00000000	Bioreactor
DHGC00000000	Bioreactor
DHFP00000000	Bioreactor
DHFA00000000	Bioreactor
DHEZ00000000	Bioreactor
DHER00000000	Bioreactor
DHEH00000000	Bioreactor
DHEG00000000	Bioreactor
DHEA00000000	Bioreactor
DHDV00000000	Bioreactor
DHDT00000000	Bioreactor
DHDO00000000	Bioreactor
DHDH00000000	Bioreactor
DHDG00000000	Bioreactor
DHCX00000000	Bioreactor
DHCQ00000000	Bioreactor
DHCA00000000	Bioreactor
DHBZ00000000	Bioreactor
DHBY00000000	Bioreactor
DHBQ00000000	Bioreactor
DHBP00000000	Bioreactor
DHBC00000000	Bioreactor
DHBB00000000	Bioreactor
DHAP00000000	Bioreactor
DHAN00000000	Bioreactor
DHAA00000000	Bioreactor
DGZV00000000	Bioreactor
DGZR00000000	Bioreactor
DGZQ00000000	Bioreactor
DGZO00000000	Bioreactor
DGZM00000000	Bioreactor
DGZL00000000	Bioreactor
DGZB00000000	Bioreactor
DGZA00000000	Bioreactor
DGYW00000000	Bioreactor
DGYV00000000	Bioreactor
DGYI00000000	Built Environment
DICK00000000	Built Environment
DHVT00000000	Biofilm
DHUV00000000	Bioreactor
